Flight ID,Airline,Source,Destination,Departure Time,Arrival Time,Status,Delay (min),Aircraft Type,Date
FL0001,SkyHigh,JFK,DFW,2025-01-29 21:34:20,2025-01-29 23:34:20,On-time,0,Airbus A320,2025-01-29
FL0002,SkyHigh,MIA,LAX,2025-02-25 08:03:25,2025-02-25 10:03:25,On-time,0,Boeing 737,2025-02-25
FL0003,SkyHigh,LAX,ATL,2025-03-10 14:52:31,2025-03-10 16:52:31,On-time,0,Embraer 190,2025-03-10
FL0004,SkyHigh,MIA,ATL,2025-05-15 18:08:56,2025-05-15 20:23:56,Delayed,15,Embraer 190,2025-05-15
FL0005,CloudNine,ATL,SEA,2025-04-06 21:51:18,2025-04-06 23:51:18,On-time,0,Boeing 737,2025-04-06
FL0006,JetZoom,SFO,DEN,2025-03-12 10:22:47,2025-03-12 12:22:47,On-time,0,Airbus A320,2025-03-12
FL0007,AeroFly,LAX,BOS,2025-04-27 15:38:39,2025-04-27 17:38:39,On-time,0,Boeing 777,2025-04-27
FL0008,AeroFly,BOS,DFW,2024-11-28 12:04:40,2024-11-28 14:34:40,Delayed,30,Airbus A350,2024-11-28
FL0009,GlobalWings,LAX,SFO,2025-02-06 23:30:48,2025-02-07 01:30:48,On-time,0,Boeing 777,2025-02-06
FL0010,GlobalWings,DEN,ATL,2025-05-01 11:23:39,2025-05-01 13:38:39,Delayed,15,Boeing 737,2025-05-01
FL0011,JetZoom,DFW,LAX,2025-04-06 11:24:45,2025-04-06 13:54:45,Delayed,30,Boeing 737,2025-04-06
FL0012,CloudNine,DFW,SEA,2025-05-25 19:21:58,2025-05-25 21:36:58,Delayed,15,Boeing 777,2025-05-25
FL0013,JetZoom,DEN,BOS,2025-01-23 21:23:33,2025-01-23 23:23:33,On-time,0,Boeing 777,2025-01-23
FL0014,SkyHigh,BOS,ORD,2025-05-09 17:25:15,2025-05-09 19:25:15,On-time,0,Airbus A320,2025-05-09
FL0015,JetZoom,SEA,SFO,2025-04-18 10:13:33,2025-04-18 12:13:33,On-time,0,Embraer 190,2025-04-18
FL0016,JetZoom,DEN,JFK,2025-01-12 11:02:00,2025-01-12 13:02:00,On-time,0,Boeing 737,2025-01-12
FL0017,AeroFly,SFO,DFW,2025-01-28 17:22:47,2025-01-28 19:22:47,On-time,0,Embraer 190,2025-01-28
FL0018,AeroFly,ATL,SEA,2025-02-08 01:29:28,2025-02-08 03:29:28,On-time,0,Airbus A350,2025-02-08
FL0019,JetZoom,DFW,ORD,2024-12-23 13:57:58,2024-12-23 15:57:58,On-time,0,Embraer 190,2024-12-23
FL0020,GlobalWings,DFW,SFO,2025-03-09 17:18:22,2025-03-09 19:48:22,Delayed,30,Airbus A350,2025-03-09
FL0021,AeroFly,ATL,ORD,2025-02-12 05:37:28,2025-02-12 07:37:28,On-time,0,Boeing 737,2025-02-12
FL0022,SkyHigh,LAX,ORD,2024-12-01 04:21:50,2024-12-01 06:36:50,Delayed,15,Airbus A350,2024-12-01
FL0023,GlobalWings,LAX,SFO,2025-05-24 04:54:42,2025-05-24 06:54:42,On-time,0,Airbus A350,2025-05-24
FL0024,GlobalWings,DFW,MIA,2025-04-13 02:30:52,2025-04-13 05:00:52,Delayed,30,Boeing 737,2025-04-13
FL0025,SkyHigh,MIA,DFW,2025-01-11 12:32:21,2025-01-11 14:47:21,Delayed,15,Boeing 777,2025-01-11
FL0026,SkyHigh,DFW,SFO,2025-03-30 03:37:43,2025-03-30 05:37:43,On-time,0,Boeing 737,2025-03-30
FL0027,AeroFly,MIA,ORD,2025-02-05 08:53:24,2025-02-05 10:53:24,On-time,0,Boeing 737,2025-02-05
FL0028,AeroFly,MIA,ATL,2025-04-30 09:11:21,2025-04-30 11:11:21,On-time,0,Airbus A320,2025-04-30
FL0029,GlobalWings,MIA,JFK,2024-12-15 10:58:18,2024-12-15 12:58:18,On-time,0,Airbus A350,2024-12-15
FL0030,SkyHigh,LAX,DEN,2025-03-22 09:12:15,2025-03-22 11:42:15,Delayed,30,Boeing 777,2025-03-22
FL0031,JetZoom,JFK,ATL,2025-01-04 09:22:51,2025-01-04 11:52:51,Delayed,30,Boeing 737,2025-01-04
FL0032,SkyHigh,SEA,LAX,2025-01-01 02:12:09,2025-01-01 05:42:09,Cancelled,90,Embraer 190,2025-01-01
FL0033,JetZoom,ORD,SEA,2024-12-10 23:44:32,2024-12-11 02:44:32,Delayed,60,Airbus A320,2024-12-10
FL0034,AeroFly,MIA,SFO,2025-04-13 20:00:23,2025-04-13 23:30:23,Cancelled,90,Embraer 190,2025-04-13
