Passenger ID,Flight ID,Ticket Class,Age,Gender,Feedback Score,Check-in Luggage,Frequent Flyer
P0001,FL2587,Economy,58,Female,5,N,N
P0002,FL2454,Economy,36,Female,3,Y,N
P0003,FL1940,Economy,46,Female,4,Y,Y
P0004,FL1337,Economy,38,Other,4,N,N
P0005,FL2365,Business,62,Male,2,N,N
P0006,FL2345,First,32,Other,5,Y,N
P0007,FL1021,Economy,48,Male,3,Y,N
P0008,FL0608,Economy,23,Other,4,N,N
P0009,FL2982,Economy,46,Female,2,N,N
P0010,FL1491,Business,21,Female,2,Y,N
P0011,FL1341,Economy,57,Female,5,Y,N
P0012,FL1311,Economy,38,Other,5,Y,N
P0013,FL2646,Economy,56,Other,1,N,N
P0014,FL0799,Economy,50,Female,2,N,N
P0015,FL0045,Economy,31,Male,3,Y,Y
P0016,FL2638,Business,23,Female,4,Y,N
P0017,FL1565,Economy,56,Female,3,Y,N
P0018,FL1868,Economy,63,Other,4,N,Y
P0019,FL0527,Economy,19,Male,1,N,N
P0020,FL1511,Economy,64,Female,5,Y,N
P0021,FL2648,Economy,29,Female,5,Y,N
P0022,FL1328,Economy,54,Male,5,Y,N
P0023,FL2924,Economy,22,Male,2,Y,Y
P0024,FL0670,First,33,Male,3,N,N
P0025,FL1691,Economy,22,Female,4,Y,N
P0026,FL2629,Business,62,Male,5,Y,N
P0027,FL1838,Economy,66,Female,2,Y,Y
P0028,FL2800,Economy,21,Other,2,N,Y
P0029,FL0898,Business,27,Male,5,N,N
P0030,FL2599,Economy,19,Other,3,N,Y
P0031,FL2928,Economy,53,Male,1,Y,N
P0032,FL0856,Economy,49,Male,3,Y,N
P0033,FL1508,Economy,28,Female,2,Y,N
P0034,FL2571,Business,36,Female,5,N,N
P0035,FL0655,Business,66,Other,3,N,Y
P0036,FL1067,Economy,59,Female,4,Y,N
P0037,FL2669,Economy,67,Female,2,Y,Y
P0038,FL1588,Business,65,Male,2,N,N
P0039,FL2762,Economy,55,Female,3,N,Y
P0040,FL2565,Economy,34,Male,5,Y,N
P0041,FL0887,Business,39,Male,4,N,N
P0042,FL1876,First,56,Male,4,N,N
P0043,FL1169,Business,60,Male,1,Y,N
P0044,FL0128,Economy,18,Female,1,N,N
P0045,FL2985,Economy,28,Male,1,N,Y
P0046,FL0782,First,65,Female,1,N,N
P0047,FL0092,Economy,20,Male,3,Y,Y
P0048,FL0839,Economy,58,Other,1,N,Y
P0049,FL0462,Economy,33,Female,5,N,Y
P0050,FL2879,Economy,22,Other,2,Y,Y
P0051,FL2778,Economy,20,Female,4,N,N
P0052,FL0055,Economy,20,Other,1,N,N
P0053,FL2945,Economy,69,Female,1,N,N
P0054,FL0771,Economy,46,Male,1,N,N
P0055,FL2880,Economy,32,Other,1,N,N
P0056,FL2450,Economy,70,Female,5,Y,N
P0057,FL1521,Business,52,Male,3,N,N
P0058,FL2377,Economy,47,Female,3,Y,N
P0059,FL2026,Economy,44,Female,4,Y,N
P0060,FL0564,Economy,40,Other,4,N,N
P0061,FL2787,Economy,20,Female,5,Y,N
P0062,FL2213,Economy,65,Male,5,Y,N
P0063,FL0844,Business,43,Male,4,Y,N
P0064,FL2229,Economy,24,Other,1,N,N
P0065,FL2723,First,65,Male,3,N,Y
P0066,FL2998,Business,41,Other,4,N,Y
P0067,FL1439,Business,62,Male,2,N,Y
P0068,FL2843,Business,30,Other,1,Y,N
P0069,FL0296,Economy,37,Male,4,N,N
P0070,FL2220,Economy,70,Male,1,Y,Y
P0071,FL0496,Economy,70,Other,1,Y,Y
P0072,FL0488,Economy,40,Other,4,Y,N
P0073,FL1230,Economy,41,Male,3,N,N
P0074,FL1960,Economy,55,Male,4,Y,N
P0075,FL1440,Economy,62,Female,4,Y,N
P0076,FL2405,Economy,40,Other,4,Y,N
P0077,FL1997,Business,23,Female,3,Y,Y
P0078,FL2967,Business,58,Male,4,N,N
P0079,FL0989,Economy,48,Male,3,N,N
P0080,FL2884,Business,31,Other,4,Y,Y
P0081,FL0526,Economy,61,Male,5,N,Y
P0082,FL0743,Economy,62,Other,4,Y,Y
P0083,FL0482,Economy,49,Male,4,N,N
P0084,FL0164,Economy,39,Female,1,Y,N
P0085,FL0315,Economy,49,Male,1,N,N
P0086,FL2679,First,67,Female,1,N,Y
P0087,FL1393,Business,55,Female,2,N,N
P0088,FL0476,Economy,26,Male,5,Y,N
P0089,FL1502,Business,45,Male,5,N,N
P0090,FL0436,Economy,20,Female,4,N,Y
P0091,FL0358,Economy,60,Female,4,N,N
P0092,FL0997,First,26,Male,1,Y,Y
P0093,FL0766,Economy,46,Other,5,N,N
P0094,FL1958,Economy,68,Other,2,N,Y
P0095,FL0163,Economy,27,Female,2,N,Y
P0096,FL0246,Economy,18,Male,5,N,N
P0097,FL0037,Economy,69,Male,3,Y,N
P0098,FL0875,Economy,48,Female,4,Y,Y
P0099,FL1589,Economy,58,Other,1,Y,N
P0100,FL2089,Economy,66,Male,4,Y,N
P0101,FL1012,Economy,44,Other,3,Y,N
P0102,FL1665,Economy,45,Male,3,N,Y
P0103,FL2752,Business,41,Female,4,Y,N
P0104,FL0522,Economy,68,Other,4,Y,Y
P0105,FL2136,Economy,67,Male,4,Y,N
P0106,FL2301,Economy,67,Male,1,N,Y
P0107,FL1151,Economy,69,Female,3,N,N
P0108,FL1925,Economy,42,Other,5,Y,N
P0109,FL0373,Economy,39,Other,5,Y,Y
P0110,FL1099,First,36,Other,5,Y,N
P0111,FL1328,First,54,Male,3,N,Y
P0112,FL1373,Economy,44,Female,3,N,N
P0113,FL0772,Business,68,Male,3,Y,N
P0114,FL1481,Business,53,Female,2,N,N
P0115,FL0711,Economy,64,Female,2,Y,N
P0116,FL2595,Business,29,Other,4,N,Y
P0117,FL1984,Business,54,Female,5,N,Y
P0118,FL2483,Economy,25,Female,5,N,Y
P0119,FL0774,Business,34,Female,4,N,N
P0120,FL1723,Economy,21,Female,4,Y,N
P0121,FL1585,Economy,26,Male,1,N,N
P0122,FL0224,Economy,22,Female,1,N,Y
P0123,FL0393,First,61,Female,2,Y,N
P0124,FL2321,Economy,25,Female,5,N,Y
P0125,FL0986,Economy,57,Other,5,N,N
P0126,FL1449,Business,27,Male,5,N,N
P0127,FL0704,Business,70,Female,2,Y,N
P0128,FL0374,Economy,57,Female,4,Y,Y
P0129,FL1665,Economy,47,Other,2,Y,N
P0130,FL1145,Economy,33,Other,3,N,N
P0131,FL2457,Business,46,Male,2,Y,N
P0132,FL1674,Business,46,Male,4,N,Y
P0133,FL1113,Economy,61,Female,4,N,N
P0134,FL2045,Economy,42,Female,5,Y,N
P0135,FL2882,Economy,62,Other,4,Y,N
